Timestamp,X,Y,Z,Joint,ScenarioId
0,0.205172095,0.028642517,0.033048612,WristRight,4
1,0.205156687,0.028761449,0.033232418,WristRight,4
2,0.205458288,0.028728028,0.033175447,WristRight,4
3,0.205927139,0.028533683,0.032943934,WristRight,4
4,0.206375301,0.028094674,0.032626637,WristRight,4
5,0.206694291,0.027568131,0.03240998,WristRight,4
6,0.207025093,0.027119327,0.032170186,WristRight,4
7,0.207092358,0.026913049,0.031285722,WristRight,4
8,0.20636583,0.026877609,0.028947217,WristRight,4
9,0.204496468,0.02695754,0.024854172,WristRight,4
10,0.201497761,0.02700748,0.020093572,WristRight,4
11,0.198427202,0.027065221,0.016271338,WristRight,4
12,0.196342283,0.027125975,0.014219106,WristRight,4
13,0.195231785,0.027246416,0.013435073,WristRight,4
14,0.195258866,0.027229434,0.013679115,WristRight,4
15,0.196437853,0.026881652,0.014805643,WristRight,4
16,0.198651378,0.025778572,0.017620517,WristRight,4
17,0.201977075,0.023482627,0.023016362,WristRight,4
18,0.205980823,0.01975275,0.031381199,WristRight,4
19,0.21013067,0.014890626,0.042094787,WristRight,4
20,0.214786176,0.009567617,0.054201323,WristRight,4
21,0.219947323,0.004887368,0.065566543,WristRight,4
22,0.224935748,0.001736292,0.074465812,WristRight,4
23,0.228841205,0.000235191,0.080838522,WristRight,4
24,0.231361097,-0.000224243,0.08673287,WristRight,4
25,0.232983866,-0.000242469,0.09484606,WristRight,4
26,0.234553521,0.00012067,0.106788181,WristRight,4
27,0.236105134,0.001570327,0.121662476,WristRight,4
28,0.237324447,0.005051517,0.137195256,WristRight,4
29,0.237913749,0.010922236,0.151422415,WristRight,4
30,0.237974989,0.018658589,0.163711221,WristRight,4
31,0.237763466,0.027444488,0.174510443,WristRight,4
32,0.237712077,0.036505484,0.185073064,WristRight,4
33,0.237815298,0.045525618,0.19638978,WristRight,4
34,0.237709453,0.054883345,0.208517995,WristRight,4
35,0.236316913,0.06583559,0.220684464,WristRight,4
36,0.232701425,0.079978886,0.231864955,WristRight,4
37,0.22662576,0.098139542,0.241505398,WristRight,4
38,0.21985227,0.119298068,0.250194485,WristRight,4
39,0.214574058,0.140867718,0.259216417,WristRight,4
40,0.211844424,0.160578153,0.269333323,WristRight,4
41,0.211119779,0.178054124,0.280528391,WristRight,4
42,0.211436163,0.194751551,0.292327709,WristRight,4
43,0.211929483,0.212014752,0.304259416,WristRight,4
44,0.212931339,0.229895873,0.316076464,WristRight,4
45,0.214777245,0.247459131,0.327353096,WristRight,4
46,0.217511542,0.264441614,0.33726597,WristRight,4
47,0.220855322,0.281421889,0.344350022,WristRight,4
48,0.224642493,0.299043426,0.348230888,WristRight,4
49,0.227881944,0.316662169,0.349595458,WristRight,4
50,0.230034567,0.332557827,0.35,WristRight,4
51,0.231079162,0.345369064,0.349492277,WristRight,4
52,0.231443695,0.35585165,0.347124525,WristRight,4
53,0.230609417,0.36627657,0.340810444,WristRight,4
54,0.228038111,0.378598338,0.329717981,WristRight,4
55,0.224552101,0.393103097,0.31483467,WristRight,4
56,0.221232693,0.4087026,0.299198537,WristRight,4
57,0.218825392,0.424147723,0.285331873,WristRight,4
58,0.218729844,0.439091302,0.275087466,WristRight,4
59,0.220689474,0.453674529,0.268572965,WristRight,4
60,0.223028894,0.467664035,0.264355618,WristRight,4
61,0.22547687,0.480912627,0.260557403,WristRight,4
62,0.227276589,0.494168871,0.256205442,WristRight,4
63,0.227671236,0.508818879,0.251380168,WristRight,4
64,0.227415083,0.525419747,0.246894854,WristRight,4
65,0.227349137,0.542998901,0.243398628,WristRight,4
66,0.227206206,0.559517743,0.24074083,WristRight,4
67,0.227144239,0.573593802,0.238078611,WristRight,4
68,0.227516385,0.585352724,0.234626555,WristRight,4
