Timestamp,X,Y,Z,Joint,ScenarioId
0,0.128730787,0.001383302,0.042859227,WristRight,15
1,0.128807346,0.001528324,0.042932121,WristRight,15
2,0.128908706,0.001471032,0.043000316,WristRight,15
3,0.12901898,0.001278265,0.043074198,WristRight,15
4,0.129104385,0.001025698,0.0431509,WristRight,15
5,0.129165639,0.000772415,0.043102308,WristRight,15
6,0.129277812,0.000560692,0.043283236,WristRight,15
7,0.129500039,0.000472088,0.044201029,WristRight,15
8,0.129869286,0.000559134,0.046207005,WristRight,15
9,0.130240032,0.001040916,0.049576689,WristRight,15
10,0.130524794,0.00234605,0.053181712,WristRight,15
11,0.130671179,0.004814084,0.056336043,WristRight,15
12,0.13068549,0.008671209,0.059234961,WristRight,15
13,0.130507859,0.013917968,0.062861984,WristRight,15
14,0.130740721,0.020368023,0.0690548,WristRight,15
15,0.131955995,0.027597374,0.079047109,WristRight,15
16,0.134600662,0.034839914,0.09116512,WristRight,15
17,0.138471766,0.041840315,0.104762941,WristRight,15
18,0.142473218,0.04870166,0.119274084,WristRight,15
19,0.145305141,0.055673952,0.134913871,WristRight,15
20,0.146720077,0.06272756,0.152095728,WristRight,15
21,0.147678633,0.069315385,0.171474451,WristRight,15
22,0.147933653,0.074817637,0.191665372,WristRight,15
23,0.145221535,0.07901832,0.210703542,WristRight,15
24,0.136424812,0.082758735,0.228091413,WristRight,15
25,0.125020104,0.087016714,0.243260145,WristRight,15
26,0.114574029,0.092290297,0.256266068,WristRight,15
27,0.10757485,0.098606751,0.270305578,WristRight,15
28,0.107199712,0.106948889,0.287146218,WristRight,15
29,0.112741637,0.116218111,0.304441794,WristRight,15
30,0.121209399,0.127391415,0.321871916,WristRight,15
31,0.131234796,0.140364179,0.336891467,WristRight,15
32,0.140829551,0.154466991,0.348886864,WristRight,15
33,0.146212571,0.169107769,0.359427993,WristRight,15
34,0.148455356,0.185197823,0.369742036,WristRight,15
35,0.149199866,0.200415385,0.377927354,WristRight,15
36,0.150202497,0.215818617,0.384649277,WristRight,15
37,0.149073526,0.230875054,0.389370975,WristRight,15
38,0.145168855,0.244487075,0.392978197,WristRight,15
39,0.137371991,0.25593866,0.396293649,WristRight,15
40,0.12685049,0.26568402,0.399312161,WristRight,15
41,0.117348347,0.273254336,0.401111891,WristRight,15
42,0.111387517,0.281268209,0.401993243,WristRight,15
43,0.108883016,0.291395293,0.402085685,WristRight,15
44,0.108534132,0.304895608,0.401607887,WristRight,15
45,0.108463873,0.321854463,0.401202553,WristRight,15
46,0.108388041,0.342877122,0.400765422,WristRight,15
47,0.109328156,0.367185467,0.400374751,WristRight,15
48,0.111302896,0.393612787,0.40033988,WristRight,15
49,0.114529719,0.42020983,0.400590537,WristRight,15
50,0.118422841,0.445760574,0.400770268,WristRight,15
51,0.121895274,0.468784354,0.401134177,WristRight,15
52,0.124434315,0.490344152,0.401134281,WristRight,15
53,0.125733608,0.510046512,0.400389134,WristRight,15
54,0.126143546,0.527789535,0.398748608,WristRight,15
55,0.126207723,0.543200762,0.396374995,WristRight,15
56,0.125886723,0.55609046,0.393531569,WristRight,15
57,0.12507268,0.566798132,0.390494277,WristRight,15
58,0.123275626,0.576835034,0.386694442,WristRight,15
59,0.121180703,0.586614791,0.382173283,WristRight,15
60,0.119473054,0.597560252,0.377087857,WristRight,15
61,0.118504608,0.610607277,0.371992163,WristRight,15
62,0.118228649,0.62629081,0.366980553,WristRight,15
63,0.119064234,0.645019032,0.361718798,WristRight,15
64,0.120559857,0.665584184,0.355632791,WristRight,15
65,0.123070261,0.687144111,0.348379751,WristRight,15
66,0.126110646,0.708621617,0.340281819,WristRight,15
67,0.129244195,0.729773354,0.331236272,WristRight,15
68,0.131586354,0.750895587,0.321169839,WristRight,15
69,0.133180753,0.771461973,0.310447628,WristRight,15
70,0.133900435,0.78920907,0.299453084,WristRight,15
71,0.134239351,0.803736052,0.288581141,WristRight,15
72,0.133743991,0.814004739,0.279142179,WristRight,15
73,0.132518265,0.821017322,0.271068671,WristRight,15
74,0.130591503,0.826470156,0.264184485,WristRight,15
75,0.128603828,0.832267966,0.258392408,WristRight,15
