Timestamp,X,Y,Z,Joint,ScenarioId
0,0.136234672,3.1e-05,0.0,WristRight,13
1,0.136691049,4.12e-05,0.009693899,WristRight,13
2,0.136895566,0.000226701,0.019387797,WristRight,13
3,0.137195457,0.000634598,0.029081696,WristRight,13
4,0.138117397,0.001325722,0.038775595,WristRight,13
5,0.139845568,0.002362685,0.048469493,WristRight,13
6,0.141964481,0.003587848,0.058163392,WristRight,13
7,0.143731501,0.005025367,0.067857291,WristRight,13
8,0.144766642,0.006964023,0.077551189,WristRight,13
9,0.145120535,0.009085395,0.082578795,WristRight,13
10,0.1451381,0.011850592,0.087429659,WristRight,13
11,0.145175247,0.01537673,0.09299613,WristRight,13
12,0.1449939,0.01968895,0.099770858,WristRight,13
13,0.1438832,0.024784032,0.108565518,WristRight,13
14,0.141410438,0.030319283,0.119142931,WristRight,13
15,0.137437626,0.034825478,0.12957301,WristRight,13
16,0.132890612,0.038200447,0.140040269,WristRight,13
17,0.129232206,0.040139458,0.152219439,WristRight,13
18,0.127058288,0.04100159,0.167684192,WristRight,13
19,0.126246771,0.041606299,0.187805266,WristRight,13
20,0.126269755,0.042707354,0.210047602,WristRight,13
21,0.126451236,0.044426454,0.230874176,WristRight,13
22,0.126364111,0.047375295,0.248580564,WristRight,13
23,0.127141696,0.051785283,0.263401747,WristRight,13
24,0.129917698,0.05768329,0.27631277,WristRight,13
25,0.135344535,0.065469458,0.288702795,WristRight,13
26,0.142805288,0.075724757,0.300967251,WristRight,13
27,0.149879955,0.087935315,0.312807924,WristRight,13
28,0.154396188,0.101802009,0.324176244,WristRight,13
29,0.15616329,0.115869485,0.334105443,WristRight,13
30,0.156138546,0.128780551,0.34239445,WristRight,13
31,0.155729093,0.139581041,0.349494552,WristRight,13
32,0.155781753,0.148232356,0.356448582,WristRight,13
33,0.155753011,0.154852102,0.363796956,WristRight,13
34,0.156083265,0.161682943,0.371799287,WristRight,13
35,0.157025952,0.169610569,0.378636609,WristRight,13
36,0.158802283,0.180257603,0.384126897,WristRight,13
37,0.161164417,0.194140345,0.388379582,WristRight,13
38,0.163333376,0.210105283,0.391222137,WristRight,13
39,0.164460719,0.226841433,0.39298379,WristRight,13
40,0.165082771,0.243944671,0.393988171,WristRight,13
41,0.166561556,0.261505905,0.394183974,WristRight,13
42,0.170291512,0.280465891,0.393887743,WristRight,13
43,0.176554435,0.300918005,0.393260666,WristRight,13
44,0.183286664,0.320601297,0.391682829,WristRight,13
45,0.188305819,0.336933671,0.389353779,WristRight,13
46,0.19079163,0.347889383,0.386530228,WristRight,13
47,0.191553662,0.355138274,0.383534634,WristRight,13
48,0.191437043,0.360951617,0.380541139,WristRight,13
49,0.191895846,0.36783424,0.377852604,WristRight,13
