Timestamp,X,Y,Z,Joint,ScenarioId
0,0.164710571,0.005346644,0.049862279,WristRight,13
1,0.164739995,0.005352359,0.049633,WristRight,13
2,0.164768177,0.005356155,0.049974791,WristRight,13
3,0.164785926,0.005340571,0.050046196,WristRight,13
4,0.164772073,0.005274948,0.048654965,WristRight,13
5,0.164741508,0.005161628,0.045353785,WristRight,13
6,0.164708429,0.005017687,0.040235741,WristRight,13
7,0.164679839,0.004899082,0.034511611,WristRight,13
8,0.164593204,0.004835893,0.029902835,WristRight,13
9,0.164626884,0.00477612,0.0270334,WristRight,13
10,0.164827884,0.004696306,0.025856152,WristRight,13
11,0.165367023,0.004601649,0.025684974,WristRight,13
12,0.16639378,0.004405283,0.025540515,WristRight,13
13,0.16787315,0.004040871,0.025650599,WristRight,13
14,0.169559762,0.00345988,0.026727544,WristRight,13
15,0.171239696,0.002675109,0.029504588,WristRight,13
16,0.172470011,0.001825243,0.034024128,WristRight,13
17,0.173135952,0.001135984,0.039214604,WristRight,13
18,0.173391331,0.00070163,0.043209982,WristRight,13
19,0.173338898,0.000509975,0.046379301,WristRight,13
20,0.17343339,0.000415698,0.050869497,WristRight,13
21,0.173142986,0.000238476,0.058535889,WristRight,13
22,0.171583281,0.00039932,0.069834729,WristRight,13
23,0.168966662,0.001531896,0.083147168,WristRight,13
24,0.16485471,0.004307324,0.09496027,WristRight,13
25,0.159206077,0.008955553,0.103861385,WristRight,13
26,0.153247204,0.014842912,0.111103098,WristRight,13
27,0.146943762,0.021115392,0.118168041,WristRight,13
28,0.141569308,0.02714317,0.127029499,WristRight,13
29,0.138438132,0.032233315,0.138946958,WristRight,13
30,0.136793812,0.036081136,0.15201593,WristRight,13
31,0.135806669,0.038503878,0.16525565,WristRight,13
32,0.137707503,0.039518782,0.178214693,WristRight,13
33,0.143657637,0.039613964,0.190208001,WristRight,13
34,0.154973308,0.039459732,0.201603936,WristRight,13
35,0.16793537,0.040109111,0.212646369,WristRight,13
36,0.178413617,0.042884719,0.221642728,WristRight,13
37,0.183500129,0.049009667,0.229487787,WristRight,13
38,0.184826578,0.05850415,0.236835349,WristRight,13
39,0.184298063,0.070190585,0.244086312,WristRight,13
