Timestamp,X,Y,Z,Joint,ScenarioId
0,0.155233712,0.007932265,0.0,WristRight,10
1,0.155783935,0.007923135,0.007230281,WristRight,10
2,0.155470425,0.008092359,0.014460563,WristRight,10
3,0.155024705,0.008160098,0.021690844,WristRight,10
4,0.155340125,0.007731361,0.028921126,WristRight,10
5,0.157121884,0.006487914,0.036151407,WristRight,10
6,0.160903762,0.004914039,0.043381689,WristRight,10
7,0.165279209,0.003510447,0.05061197,WristRight,10
8,0.168841676,0.002562918,0.057842252,WristRight,10
9,0.17052268,0.002036726,0.05745195,WristRight,10
10,0.170724889,0.002551329,0.056469224,WristRight,10
11,0.169893304,0.005450372,0.055279959,WristRight,10
12,0.169246492,0.01205241,0.054262635,WristRight,10
13,0.168558608,0.02140658,0.053402036,WristRight,10
14,0.167919442,0.031648336,0.052899304,WristRight,10
15,0.167620714,0.04093158,0.05410573,WristRight,10
16,0.168279576,0.048409746,0.058510639,WristRight,10
17,0.170100934,0.055212667,0.067228054,WristRight,10
18,0.172486385,0.062200787,0.079812079,WristRight,10
19,0.174693785,0.068329832,0.09359727,WristRight,10
20,0.176422882,0.073939646,0.106240379,WristRight,10
21,0.176546077,0.07944661,0.11709493,WristRight,10
22,0.174412624,0.084568796,0.126119873,WristRight,10
23,0.170248383,0.089740286,0.13332024,WristRight,10
24,0.165290535,0.095442755,0.139140578,WristRight,10
25,0.161084825,0.101416005,0.144008499,WristRight,10
26,0.158915721,0.108735247,0.149427424,WristRight,10
27,0.159022664,0.118080839,0.156835565,WristRight,10
28,0.160617506,0.130021433,0.166666535,WristRight,10
29,0.16222873,0.144059825,0.177364927,WristRight,10
30,0.16382544,0.159960605,0.187045687,WristRight,10
31,0.164994043,0.176631825,0.194630145,WristRight,10
32,0.165157048,0.193122447,0.200248397,WristRight,10
33,0.16466641,0.208967279,0.204965889,WristRight,10
34,0.163651864,0.224785057,0.21021466,WristRight,10
35,0.161688356,0.240223109,0.215991828,WristRight,10
36,0.158954236,0.255918937,0.221501177,WristRight,10
37,0.156415485,0.271356576,0.225652392,WristRight,10
38,0.154723964,0.28638319,0.227874107,WristRight,10
39,0.154010082,0.301198308,0.228878893,WristRight,10
40,0.153714286,0.315994215,0.228819755,WristRight,10
41,0.153975218,0.33089449,0.227208964,WristRight,10
42,0.155177397,0.347155748,0.223177213,WristRight,10
43,0.156928873,0.364362544,0.216712807,WristRight,10
44,0.158698127,0.383293592,0.208540161,WristRight,10
45,0.160156891,0.404200435,0.200344707,WristRight,10
46,0.160542088,0.425397959,0.193227916,WristRight,10
47,0.159274048,0.444423624,0.18719434,WristRight,10
48,0.15627771,0.460116345,0.181614238,WristRight,10
49,0.152452104,0.470731211,0.176878195,WristRight,10
50,0.148984864,0.478374673,0.172564449,WristRight,10
51,0.146834061,0.486730057,0.168847531,WristRight,10
52,0.146775898,0.497275023,0.166489331,WristRight,10
53,0.148096519,0.511479234,0.165146054,WristRight,10
54,0.149913789,0.529813442,0.164244227,WristRight,10
55,0.152049333,0.549333444,0.163694909,WristRight,10
56,0.154095871,0.569064338,0.162937832,WristRight,10
57,0.155334916,0.589764531,0.161996646,WristRight,10
58,0.156247098,0.610325717,0.161182,WristRight,10
59,0.157252243,0.632552404,0.160489327,WristRight,10
60,0.158310161,0.655998,0.159950111,WristRight,10
61,0.158999195,0.677233288,0.159616202,WristRight,10
62,0.159813195,0.695083424,0.159452179,WristRight,10
63,0.161099311,0.710349181,0.159143465,WristRight,10
64,0.163412576,0.723427882,0.158453544,WristRight,10
65,0.166063975,0.736415063,0.157224501,WristRight,10
66,0.168142859,0.750124306,0.155929565,WristRight,10
67,0.169329683,0.764215565,0.15492476,WristRight,10
68,0.169484526,0.779498692,0.154080451,WristRight,10
69,0.168377014,0.797908587,0.152915467,WristRight,10
70,0.166266592,0.819539415,0.151033676,WristRight,10
71,0.162989739,0.843215247,0.1488731,WristRight,10
72,0.159617023,0.867140252,0.147223172,WristRight,10
73,0.157250639,0.889121905,0.146451585,WristRight,10
74,0.15588407,0.908109864,0.146352358,WristRight,10
75,0.154931059,0.925488376,0.146687667,WristRight,10
76,0.154347712,0.940915063,0.147088601,WristRight,10
77,0.153541476,0.955227889,0.147811853,WristRight,10
78,0.152084923,0.968945859,0.148726361,WristRight,10
79,0.149499358,0.981711816,0.149503798,WristRight,10
80,0.145355973,0.993000222,0.149954717,WristRight,10
81,0.140676984,1.003119814,0.150174732,WristRight,10
82,0.137118184,1.011678333,0.150174943,WristRight,10
83,0.135256753,1.021231118,0.149950753,WristRight,10
84,0.134770624,1.033154426,0.149531864,WristRight,10
85,0.135003517,1.048250497,0.148739136,WristRight,10
86,0.134964379,1.06561263,0.14800607,WristRight,10
87,0.134941991,1.082953678,0.147398735,WristRight,10
88,0.135527224,1.099411633,0.146487567,WristRight,10
89,0.137440274,1.115680345,0.144702077,WristRight,10
90,0.140629812,1.131226372,0.141885458,WristRight,10
91,0.144897694,1.146398961,0.138349249,WristRight,10
92,0.149421125,1.160772247,0.135387118,WristRight,10
93,0.152983376,1.172786438,0.133270469,WristRight,10
94,0.155107782,1.183345551,0.131636975,WristRight,10
95,0.156545417,1.193173417,0.129566088,WristRight,10
96,0.156601279,1.201087522,0.126792134,WristRight,10
97,0.154122728,1.206492333,0.123559002,WristRight,10
98,0.150512907,1.209331247,0.120842297,WristRight,10
99,0.144691626,1.210039998,0.118388952,WristRight,10
100,0.135562107,1.209638719,0.115344098,WristRight,10
101,0.123256461,1.208534303,0.110517442,WristRight,10
102,0.108334364,1.205590715,0.104354592,WristRight,10
103,0.091712147,1.200579833,0.09756631,WristRight,10
104,0.079171791,1.194766934,0.092299853,WristRight,10
105,0.06997783,1.18960369,0.089056255,WristRight,10
106,0.061323952,1.185699696,0.086977357,WristRight,10
107,0.049982011,1.182847515,0.084654676,WristRight,10
108,0.034552921,1.179772729,0.081192924,WristRight,10
109,0.015788088,1.175933867,0.075847887,WristRight,10
110,-0.001930638,1.171892713,0.069908128,WristRight,10
