Timestamp,X,Y,Z,Joint,ScenarioId
0,0.108097052,1.42e-05,0.0,WristRight,11
1,0.108047276,3.91e-05,0.008093041,WristRight,11
2,0.108278987,6.02e-05,0.016186083,WristRight,11
3,0.108666212,0.000144474,0.024279124,WristRight,11
4,0.109050863,0.000396556,0.032372166,WristRight,11
5,0.109348311,0.000681694,0.040465207,WristRight,11
6,0.109769925,0.001156873,0.048558248,WristRight,11
7,0.109749946,0.00230702,0.05665129,WristRight,11
8,0.108671544,0.004475746,0.064744331,WristRight,11
9,0.106224612,0.007728129,0.061930417,WristRight,11
10,0.102804104,0.012181444,0.059002896,WristRight,11
11,0.099589927,0.016669463,0.056866834,WristRight,11
12,0.097717662,0.021389977,0.055201104,WristRight,11
13,0.096920896,0.027341837,0.055462685,WristRight,11
14,0.096854079,0.034777385,0.058751952,WristRight,11
15,0.096289692,0.043608048,0.065730433,WristRight,11
16,0.094999531,0.053792519,0.074953764,WristRight,11
17,0.092641102,0.063101732,0.08324842,WristRight,11
18,0.088728177,0.070647231,0.087984336,WristRight,11
19,0.082949875,0.077070619,0.089432268,WristRight,11
20,0.076367145,0.083591737,0.089374127,WristRight,11
21,0.070511281,0.0924231,0.09135432,WristRight,11
22,0.066861367,0.105245399,0.096679431,WristRight,11
23,0.065462726,0.121087719,0.105676687,WristRight,11
24,0.065548599,0.137463392,0.117815819,WristRight,11
25,0.065916313,0.152573478,0.130222683,WristRight,11
26,0.065961492,0.165792293,0.141481283,WristRight,11
27,0.066007984,0.17775095,0.150505694,WristRight,11
28,0.066219086,0.188988891,0.1563018,WristRight,11
29,0.066264474,0.199628893,0.159389313,WristRight,11
30,0.065688655,0.209228147,0.160474619,WristRight,11
31,0.064135528,0.217935152,0.159974499,WristRight,11
32,0.061305463,0.226227023,0.159547937,WristRight,11
33,0.057160079,0.235507492,0.159311381,WristRight,11
34,0.05245385,0.24609815,0.15906056,WristRight,11
35,0.0478212,0.258767605,0.158840433,WristRight,11
36,0.04397449,0.272691812,0.159133868,WristRight,11
37,0.04153749,0.2879679,0.16004593,WristRight,11
38,0.040417751,0.305765488,0.161653497,WristRight,11
39,0.039991336,0.327452542,0.16313539,WristRight,11
40,0.039904805,0.351751651,0.164403628,WristRight,11
41,0.039893508,0.376581122,0.166174397,WristRight,11
42,0.039342193,0.398149912,0.17016476,WristRight,11
43,0.037986594,0.415564653,0.17514741,WristRight,11
44,0.035740098,0.430988576,0.179775102,WristRight,11
45,0.033220161,0.446213129,0.182410592,WristRight,11
46,0.031556222,0.461337941,0.18326415,WristRight,11
47,0.030544678,0.475546746,0.182217399,WristRight,11
48,0.029288039,0.489088036,0.180197823,WristRight,11
49,0.026524639,0.502030293,0.177386728,WristRight,11
50,0.02189305,0.514749104,0.17464415,WristRight,11
51,0.016362859,0.529359624,0.172723168,WristRight,11
52,0.011314204,0.546499619,0.172276161,WristRight,11
53,0.00713734,0.566827388,0.17323527,WristRight,11
