Timestamp,X,Y,Z,Joint,ScenarioId
0,0.121448721,0.005453005,0.0,WristRight,9
1,0.121462845,0.005863278,0.011476605,WristRight,9
2,0.121700889,0.005729495,0.02295321,WristRight,9
3,0.122086444,0.005085816,0.034429815,WristRight,9
4,0.122559771,0.003789753,0.04590642,WristRight,9
5,0.122934193,0.002270075,0.057383024,WristRight,9
6,0.123154599,0.00100476,0.068859629,WristRight,9
7,0.123431474,0.000471785,0.080336234,WristRight,9
8,0.124146689,0.000262456,0.091812839,WristRight,9
9,0.125676814,0.000417522,0.091101184,WristRight,9
10,0.128067977,0.001041948,0.089943703,WristRight,9
11,0.130675129,0.002519694,0.087663585,WristRight,9
12,0.132733011,0.004675984,0.083980934,WristRight,9
13,0.133902317,0.00731561,0.079388435,WristRight,9
14,0.134271624,0.009899317,0.075597884,WristRight,9
15,0.134234923,0.012603719,0.073256615,WristRight,9
16,0.13418039,0.015778615,0.072328771,WristRight,9
17,0.134221224,0.019535517,0.072231451,WristRight,9
18,0.134419626,0.023725551,0.072557628,WristRight,9
19,0.134960442,0.028936311,0.073011204,WristRight,9
20,0.135700424,0.035222798,0.073730211,WristRight,9
21,0.136479399,0.043148295,0.07526044,WristRight,9
22,0.137161032,0.05261144,0.076882088,WristRight,9
23,0.137477624,0.061529374,0.079397519,WristRight,9
24,0.138214168,0.070447658,0.084165501,WristRight,9
25,0.139548041,0.080737943,0.092083664,WristRight,9
26,0.141650873,0.093636057,0.102916866,WristRight,9
27,0.145064007,0.109733567,0.115402293,WristRight,9
28,0.14942188,0.126856265,0.125705061,WristRight,9
29,0.15457102,0.140055902,0.133342771,WristRight,9
30,0.160042175,0.149787311,0.13825881,WristRight,9
31,0.164234807,0.156716016,0.141901005,WristRight,9
32,0.166592991,0.162909701,0.145774116,WristRight,9
33,0.167581404,0.171811029,0.149621063,WristRight,9
34,0.167326757,0.184746791,0.152765136,WristRight,9
35,0.166837948,0.200729785,0.15568458,WristRight,9
36,0.166201027,0.219908293,0.157708889,WristRight,9
37,0.165426381,0.240523313,0.158998138,WristRight,9
38,0.164746971,0.26113349,0.159822361,WristRight,9
39,0.16440834,0.28447793,0.159877492,WristRight,9
40,0.164343209,0.311611982,0.159662714,WristRight,9
41,0.164434807,0.342344986,0.15950017,WristRight,9
42,0.164183029,0.374639481,0.159169871,WristRight,9
43,0.163765399,0.405659381,0.158612544,WristRight,9
44,0.162597236,0.432590902,0.157800533,WristRight,9
45,0.160193707,0.456102778,0.157056322,WristRight,9
46,0.156476982,0.477219914,0.156574281,WristRight,9
47,0.151754571,0.497930279,0.156094825,WristRight,9
48,0.147221222,0.51921122,0.155307229,WristRight,9
49,0.144188637,0.543807299,0.153842576,WristRight,9
50,0.141795256,0.571218413,0.151998075,WristRight,9
51,0.138941986,0.600700825,0.150502964,WristRight,9
52,0.134682327,0.63163341,0.149367603,WristRight,9
53,0.127888746,0.662360136,0.147863971,WristRight,9
54,0.119948474,0.691383372,0.145307061,WristRight,9
55,0.111533029,0.720253229,0.141741905,WristRight,9
56,0.10305607,0.749289274,0.138443639,WristRight,9
57,0.095857481,0.779516422,0.136400571,WristRight,9
58,0.091085213,0.810522893,0.135620921,WristRight,9
59,0.088418707,0.839359828,0.135693365,WristRight,9
60,0.087869551,0.862218837,0.136127522,WristRight,9
61,0.088064129,0.8763972,0.136878186,WristRight,9
62,0.088052807,0.885411857,0.138170197,WristRight,9
63,0.087314313,0.895121032,0.140198971,WristRight,9
64,0.085127469,0.90880317,0.142841943,WristRight,9
65,0.081468469,0.928343018,0.146091442,WristRight,9
66,0.077056916,0.951477766,0.14918963,WristRight,9
67,0.072760909,0.972492902,0.151479683,WristRight,9
68,0.069784478,0.992474946,0.152593907,WristRight,9
69,0.068338152,1.014250032,0.152874934,WristRight,9
70,0.06741798,1.037950336,0.152582086,WristRight,9
71,0.066729914,1.064733048,0.152366431,WristRight,9
72,0.066156673,1.092793562,0.152165463,WristRight,9
73,0.065389122,1.116465925,0.151907204,WristRight,9
74,0.06454185,1.135837914,0.151768497,WristRight,9
75,0.063560871,1.152265723,0.152204166,WristRight,9
76,0.062307791,1.166500807,0.15325307,WristRight,9
77,0.061159528,1.179651415,0.154640458,WristRight,9
78,0.060440175,1.193315447,0.155921626,WristRight,9
79,0.060096923,1.206283472,0.156651871,WristRight,9
80,0.060081204,1.219476748,0.156819308,WristRight,9
81,0.060034204,1.23261446,0.156692703,WristRight,9
82,0.059343522,1.24521778,0.156491562,WristRight,9
83,0.057656821,1.255530875,0.156091381,WristRight,9
