Timestamp,X,Y,Z,Joint,ScenarioId
0,0.116924586,-5.39e-05,0.030453592,WristRight,12
1,0.11817987,0.000874433,0.029981717,WristRight,12
2,0.118893142,0.001330635,0.030574138,WristRight,12
3,0.119008077,0.001526365,0.03097127,WristRight,12
4,0.118369567,0.001694967,0.029453125,WristRight,12
5,0.117130144,0.002046541,0.025248558,WristRight,12
6,0.115072632,0.002829348,0.017887655,WristRight,12
7,0.11267849,0.003983158,0.009776791,WristRight,12
8,0.110735785,0.004982706,0.003661707,WristRight,12
9,0.109528608,0.005733207,0.000636676,WristRight,12
10,0.108734989,0.00659687,0.0,WristRight,12
11,0.107900794,0.008282559,0.000394331,WristRight,12
12,0.106616118,0.011325935,0.000851288,WristRight,12
13,0.104813474,0.015553121,0.002570889,WristRight,12
14,0.102960181,0.01973218,0.006108311,WristRight,12
15,0.101376993,0.023234858,0.011189429,WristRight,12
16,0.100279406,0.025620591,0.016082825,WristRight,12
17,0.099738086,0.028055863,0.020159753,WristRight,12
18,0.099493755,0.031708314,0.024333045,WristRight,12
19,0.099589941,0.0368545,0.029982376,WristRight,12
20,0.099882966,0.043211484,0.037503603,WristRight,12
21,0.100464345,0.050667711,0.046590984,WristRight,12
22,0.10105376,0.058792901,0.054478238,WristRight,12
23,0.102113615,0.070811459,0.06156298,WristRight,12
24,0.104070977,0.088151836,0.069199231,WristRight,12
25,0.107928708,0.109700566,0.078264547,WristRight,12
26,0.113251201,0.132464448,0.087836083,WristRight,12
27,0.119801867,0.152619906,0.096724221,WristRight,12
28,0.126069398,0.167012126,0.102044799,WristRight,12
29,0.13203521,0.178851264,0.104798847,WristRight,12
30,0.137786181,0.190693969,0.106783925,WristRight,12
31,0.14445748,0.205352273,0.109655156,WristRight,12
32,0.152117988,0.223175838,0.113992092,WristRight,12
33,0.160447062,0.24253591,0.119588922,WristRight,12
34,0.168112849,0.260392412,0.125160897,WristRight,12
35,0.174123667,0.275671956,0.130027302,WristRight,12
36,0.17763487,0.287032659,0.133770724,WristRight,12
37,0.179185098,0.295583473,0.136677285,WristRight,12
38,0.179566444,0.30205262,0.138981149,WristRight,12
39,0.179422341,0.307835759,0.141277295,WristRight,12
40,0.179119585,0.313772241,0.144301154,WristRight,12
41,0.178625086,0.321120761,0.147715707,WristRight,12
42,0.177816528,0.329904622,0.151026027,WristRight,12
43,0.176847222,0.339793416,0.153876782,WristRight,12
44,0.175985941,0.350091452,0.155680771,WristRight,12
45,0.175391254,0.361136933,0.156531127,WristRight,12
46,0.175093649,0.37335813,0.156902444,WristRight,12
47,0.174993565,0.389860244,0.156935667,WristRight,12
48,0.174618515,0.412083087,0.156972701,WristRight,12
49,0.174682782,0.44154772,0.156713227,WristRight,12
50,0.176055982,0.477875598,0.155748399,WristRight,12
51,0.179455317,0.517765536,0.153859927,WristRight,12
52,0.184293859,0.556669747,0.151753594,WristRight,12
53,0.189236812,0.593440636,0.150041181,WristRight,12
54,0.193044891,0.626557781,0.149102635,WristRight,12
55,0.196416143,0.659236548,0.149017331,WristRight,12
56,0.200107551,0.692646115,0.149889079,WristRight,12
57,0.20382332,0.724753677,0.151638825,WristRight,12
58,0.206720379,0.754076486,0.154417179,WristRight,12
59,0.208362145,0.779926963,0.157243696,WristRight,12
60,0.208301363,0.800409711,0.159137932,WristRight,12
61,0.206805227,0.816972486,0.159955231,WristRight,12
62,0.205133651,0.829840407,0.160093265,WristRight,12
63,0.203255698,0.839182348,0.159726986,WristRight,12
64,0.200648288,0.847276364,0.158937274,WristRight,12
65,0.196704331,0.856553738,0.157300837,WristRight,12
66,0.190976735,0.867795001,0.154814413,WristRight,12
67,0.183383039,0.881288588,0.152223853,WristRight,12
68,0.176401574,0.895144609,0.150177018,WristRight,12
69,0.171185957,0.90745084,0.148901857,WristRight,12
70,0.166500063,0.9175735,0.148335447,WristRight,12
71,0.159101059,0.927331833,0.148395347,WristRight,12
72,0.147464612,0.938177239,0.147999714,WristRight,12
73,0.130917601,0.95155452,0.147399111,WristRight,12
74,0.112876234,0.965486788,0.146681639,WristRight,12
