Timestamp,X,Y,Z,Joint,ScenarioId
0,0.155871476,0.009784253,0.024293117,WristRight,1
1,0.162819152,0.009678419,0.027945732,WristRight,1
2,0.166010619,0.009781758,0.030463652,WristRight,1
3,0.1666964,0.009866331,0.032030867,WristRight,1
4,0.166370633,0.009661712,0.032800232,WristRight,1
5,0.166055393,0.008949497,0.033154929,WristRight,1
6,0.165988771,0.007594434,0.033245736,WristRight,1
7,0.165922049,0.00574859,0.032687909,WristRight,1
8,0.165796855,0.003871715,0.031075667,WristRight,1
9,0.165598124,0.002447157,0.028097775,WristRight,1
10,0.165820889,0.001661627,0.024841407,WristRight,1
11,0.167202053,0.001398487,0.022393739,WristRight,1
12,0.170360353,0.001394176,0.021092845,WristRight,1
13,0.175240485,0.001441949,0.020967599,WristRight,1
14,0.180869858,0.00138181,0.021996256,WristRight,1
15,0.185940091,0.001232377,0.023945343,WristRight,1
16,0.189768369,0.000984452,0.026999086,WristRight,1
17,0.192340662,0.000690391,0.03047786,WristRight,1
18,0.193843838,0.000433582,0.033487866,WristRight,1
19,0.194634063,0.000297,0.035826298,WristRight,1
20,0.19494329,0.000231884,0.03760114,WristRight,1
21,0.195134962,7.99e-05,0.038892725,WristRight,1
22,0.19494704,0.000123502,0.040197288,WristRight,1
23,0.194184329,0.000935778,0.042584483,WristRight,1
24,0.192547605,0.00298251,0.047499013,WristRight,1
25,0.190638502,0.006167963,0.055489814,WristRight,1
26,0.189058654,0.009651217,0.065276703,WristRight,1
27,0.188360411,0.012317566,0.074067473,WristRight,1
28,0.188126989,0.013850778,0.079809869,WristRight,1
29,0.188339556,0.014667452,0.08250322,WristRight,1
30,0.189204474,0.015505465,0.083980687,WristRight,1
31,0.191557354,0.017279369,0.086363302,WristRight,1
32,0.195636693,0.020627055,0.090833602,WristRight,1
33,0.200986208,0.025680127,0.097262957,WristRight,1
34,0.206419525,0.031926332,0.105014188,WristRight,1
35,0.211289395,0.0383789,0.11342736,WristRight,1
36,0.215652546,0.044068764,0.121765714,WristRight,1
37,0.220068943,0.049187534,0.129368831,WristRight,1
38,0.224874919,0.055113122,0.135976904,WristRight,1
39,0.229693514,0.063070295,0.141756983,WristRight,1
40,0.233402191,0.07305273,0.146978411,WristRight,1
41,0.235454309,0.084242343,0.151623314,WristRight,1
42,0.23620994,0.095999599,0.155229148,WristRight,1
43,0.236174091,0.108319702,0.157459721,WristRight,1
44,0.235589586,0.121848831,0.158471643,WristRight,1
45,0.234217694,0.136871916,0.158799251,WristRight,1
46,0.231581759,0.153003802,0.159004081,WristRight,1
47,0.22769914,0.169911519,0.159515326,WristRight,1
48,0.222960118,0.188154204,0.160693536,WristRight,1
49,0.217471972,0.208358536,0.162962145,WristRight,1
50,0.211118712,0.230712838,0.166385343,WristRight,1
51,0.203942218,0.254451883,0.170526724,WristRight,1
52,0.196526853,0.278045809,0.174113429,WristRight,1
53,0.189813916,0.299622957,0.176366259,WristRight,1
54,0.185036217,0.318038444,0.177331247,WristRight,1
55,0.182509091,0.33305537,0.177294402,WristRight,1
56,0.181714335,0.345548194,0.176595303,WristRight,1
57,0.181678951,0.3568757,0.175504286,WristRight,1
58,0.181930422,0.368355291,0.174194527,WristRight,1
59,0.18228787,0.380772136,0.173076167,WristRight,1
60,0.183018156,0.394715314,0.172491982,WristRight,1
61,0.184277205,0.410425314,0.172453454,WristRight,1
62,0.186560936,0.427866369,0.172852057,WristRight,1
63,0.190752946,0.446346571,0.173513705,WristRight,1
64,0.198320284,0.464691347,0.174319077,WristRight,1
65,0.210051701,0.481709256,0.17501628,WristRight,1
66,0.225040523,0.497120721,0.17539997,WristRight,1
67,0.240857903,0.511657754,0.175593225,WristRight,1
68,0.25491422,0.52702792,0.175347869,WristRight,1
69,0.265843201,0.545063817,0.174335333,WristRight,1
70,0.273977111,0.566552266,0.17214666,WristRight,1
71,0.280639587,0.590016196,0.168919634,WristRight,1
72,0.286613106,0.612418401,0.165333541,WristRight,1
73,0.291274932,0.631064749,0.162259731,WristRight,1
74,0.294194322,0.645985938,0.160005319,WristRight,1
75,0.295361379,0.65981353,0.158427316,WristRight,1
76,0.295510563,0.675701286,0.157175575,WristRight,1
77,0.295589502,0.694441683,0.155990182,WristRight,1
78,0.296223975,0.71435702,0.154607424,WristRight,1
79,0.297560766,0.732702092,0.152405016,WristRight,1
80,0.300189835,0.748029578,0.148555111,WristRight,1
81,0.304297639,0.760264259,0.142477622,WristRight,1
82,0.309594712,0.77009941,0.134603964,WristRight,1
83,0.315274203,0.778116981,0.12691151,WristRight,1
84,0.320681656,0.785517917,0.121394203,WristRight,1
85,0.325872275,0.793904901,0.11854135,WristRight,1
86,0.331311885,0.804787058,0.117788673,WristRight,1
87,0.337315199,0.818284998,0.118080093,WristRight,1
88,0.343842321,0.832943842,0.11807865,WristRight,1
89,0.35094623,0.846452888,0.117348661,WristRight,1
90,0.35890005,0.857426371,0.115753317,WristRight,1
91,0.367693511,0.865919098,0.113137393,WristRight,1
92,0.376468133,0.872785244,0.110034454,WristRight,1
93,0.383798703,0.878665717,0.107354068,WristRight,1
94,0.388677526,0.883642449,0.105532204,WristRight,1
95,0.391287037,0.887739964,0.104445938,WristRight,1
96,0.392900511,0.891615579,0.103163648,WristRight,1
97,0.394889756,0.896472974,0.10018173,WristRight,1
98,0.397783743,0.903019964,0.094443931,WristRight,1
99,0.40103518,0.910822333,0.086239203,WristRight,1
100,0.403786435,0.918371045,0.077410918,WristRight,1
101,0.405904659,0.924068734,0.070356702,WristRight,1
102,0.408436336,0.927225493,0.066388959,WristRight,1
103,0.412723391,0.928464563,0.065095663,WristRight,1
104,0.419047951,0.929082921,0.064764447,WristRight,1
105,0.426164898,0.930263769,0.063567585,WristRight,1
106,0.432414356,0.932392078,0.0606353,WristRight,1
107,0.437279662,0.935005111,0.056432096,WristRight,1
108,0.441667287,0.937380517,0.052038781,WristRight,1
109,0.446611823,0.939228989,0.048416186,WristRight,1
110,0.451960517,0.94076607,0.045745183,WristRight,1
111,0.456364964,0.94237357,0.043611123,WristRight,1
112,0.458953694,0.944260817,0.041384177,WristRight,1
113,0.459771684,0.946369817,0.038665649,WristRight,1
114,0.459709626,0.94853493,0.035314495,WristRight,1
115,0.459628303,0.950676113,0.031354505,WristRight,1
116,0.459800171,0.952699414,0.027074335,WristRight,1
117,0.459963853,0.954314119,0.02316748,WristRight,1
118,0.460128432,0.955329557,0.02027582,WristRight,1
119,0.460216314,0.955744591,0.018493585,WristRight,1
120,0.460258926,0.955839975,0.017340813,WristRight,1
121,0.460377546,0.956000759,0.016239243,WristRight,1
122,0.460505072,0.956491404,0.014949933,WristRight,1
123,0.460144194,0.95730348,0.013632083,WristRight,1
