epoch,train_loss,val_mse,val_rmse
1,527.7605295758858,0.22850979271080954,0.4780269790616525
2,509.4101886781941,0.21083203592107871,0.45916449767058287
3,490.9255949129497,0.19708287261237603,0.4439401678293777
4,472.2996510827909,0.18615937182724845,0.4314619007829642
5,453.52431580500854,0.17725160824740407,0.42101259868013935
6,434.59085693840666,0.16976840116808192,0.41202961200389704
7,415.489844757889,0.1632641019338427,0.4040595277107603
8,396.21083669851157,0.15737615177889422,0.39670663188166416
9,376.7418176280142,0.15178760647153045,0.38959928961887297
10,357.0685506941893,0.14621963742464777,0.38238676418601075
11,337.17407944049535,0.14044578155564078,0.3747609658911141
12,317.0387151275978,0.13431270654992533,0.36648698005512464
13,296.64087856250677,0.1277541652641909,0.357427146792449
14,275.95900510792745,0.12079107339138376,0.34755010198730163
15,254.97429537574135,0.11351685611688536,0.33692262630593
16,233.67358762811222,0.10607218821612095,0.3256872552251944
17,212.05142750029268,0.09861632791261508,0.31403236761935077
18,190.1107266942756,0.09130221680475685,0.30216256684896764
19,167.8620096338182,0.08425963189815235,0.29027509693074316
20,145.32172179423694,0.07758702124757136,0.2785444690665592
21,122.51020090345094,0.07135019604619168,0.2671145747543396
22,99.44977473351645,0.0655852902530831,0.25609625193095487
23,76.16323200524562,0.060303759526164125,0.24556823802390268
24,52.672737614662964,0.0554979295370373,0.23557998543390163
25,28.99916168508247,0.05114626857515808,0.22615540801660722
26,5.161748259862321,0.047218006064727966,0.21729704568798897
27,-18.82196087144078,0.043676968328257515,0.20899035462972332
28,-42.93602661253996,0.04048462535956682,0.20120791574778268
29,-67.16590569055339,0.037602398724165764,0.19391337943567938
30,-91.49819215719467,0.03499330823023799,0.18706498397679344
31,-115.92034996248816,0.0326230505282244,0.18061852210729773
32,-140.42046681143228,0.030460611244893646,0.17452968585571238
33,-164.98704812586283,0.02847851397437562,0.16875578204724015
34,-189.608860250501,0.026652804362967814,0.16325686620466476
35,-214.2748245114357,0.024962856661834548,0.15799638179982017
36,-238.9739585130934,0.02339107549822358,0.15294141197930528
37,-263.695357978983,0.02192254954904807,0.14806265413347172
38,-288.4282110843651,0.020544698277143617,0.14333421879350242
39,-313.16183705300705,0.019246939234929056,0.13873333858495965
40,-337.88574125314074,0.018020392278129016,0.1342400546712084
41,-362.5896796787082,0.016857628431062987,0.12983693015110526
42,-387.26372623048843,0.015752464819598824,0.12550882367227742
43,-411.89833646287775,0.014699802594850897,0.12124274244197422
44,-436.4844014308748,0.013695501659096092,0.11702778156957472
45,-461.0132850849096,0.012736283917070013,0.1128551457270337
46,-485.47683854906745,0.011819655500461972,0.10871823904231512
47,-509.86738487405034,0.010943837901402608,0.10461279989275982
48,-534.1776687750316,0.010107698283747659,0.10053704930893714
49,-558.4007676660578,0.009310670559981688,0.0964918160259288
50,-582.5299630440766,0.008552661218958407,0.0924805991490021
51,-606.5585747843664,0.007833937290234665,0.08850953219984085
52,-630.4797647586454,0.007154997902774465,0.08458722068240844
53,-654.2863197512577,0.006516435041028532,0.08072443893288161
54,-677.9704262274145,0.005918792553146171,0.0769336893249386
55,-701.5234505036852,0.005362434482124474,0.07322864522933956
56,-724.9357369619305,0.004847433880626299,0.06962351528489709
57,-748.1964341909338,0.004373491365461767,0.06613237758815092
58,-771.2933547785173,0.003939889163283694,0.0627685364118337
59,-794.2128696451397,0.003545482044872586,0.059543950531288956
60,-816.9398331652387,0.0031887222324077013,0.056468772187888955
61,-839.4575316639568,0.002867711885238723,0.05355102132769013
62,-861.747645783748,0.00258027463802714,0.050796403790299365
63,-883.7902169541351,0.0023240370356620867,0.048208267295787414
64,-905.563609698755,0.002096511408547859,0.045787677474926146
65,-927.0444644195081,0.001895173365928493,0.04353358893921443
66,-948.2076390714051,0.0017175291772167421,0.04144308358721322
67,-969.0261421929079,0.001561170427229988,0.039511649259806755
68,-989.4710635655285,0.0014238151576367955,0.0377334752923289
69,-1009.5115119819787,0.0013033360788137578,0.03610174620172489
70,-1029.114572032996,0.0011977773200833903,0.03460891966073761
71,-1048.2452934841695,0.0011053616381796827,0.03324697938429419
72,-1066.8667278339603,0.0010244901244817002,0.032007657278871574
73,-1084.9400271949721,0.0009537363499041376,0.0308826221345296
74,-1102.424620887553,0.0008918366567934202,0.029863634353397447
75,-1119.2784851586218,0.0008376780215659352,0.02894266783774321
76,-1135.4585212325578,0.0007902846181260881,0.028112001318406486
77,-1150.9210563220518,0.0007488039393803346,0.027364282182807842
78,-1165.6224810286076,0.0007124930974314693,0.026692566332810138
79,-1179.5200343746092,0.0006807057276411842,0.02609033782152282
80,-1192.572744070703,0.0006528797677087974,0.02555151204349358
81,-1204.742524013664,0.0006285262658752415,0.025070426120735196
82,-1215.9954228965375,0.0006072192882995237,0.02464181990640147
83,-1226.303006729921,0.0005885869363044272,0.024260810709958298
84,-1235.6438437695135,0.0005723034458274655,0.02392286449878997
85,-1244.005042904346,0.0005580823174962431,0.023623765946526033
86,-1251.383776666165,0.0005456704114343448,0.023359589282227217
87,-1257.7886990743116,0.0005348429344107495,0.023126671494418508
88,-1263.2411489228857,0.000525399244297431,0.02292158904389988
89,-1267.7760140892651,0.0005171593965720316,0.022741138858290093
90,-1271.442126100197,0.0005099613596990371,0.02258232405442445
91,-1274.3020608103811,0.0005036588275697575,0.022442344520342734
92,-1276.4312444117088,0.0004981195586990379,0.022318592220367257
93,-1277.9163062047419,0.0004932241705538589,0.022208650804446877
94,-1278.8526798947369,0.0004888653145457084,0.02211029883438278
95,-1279.3415292393368,0.0004849471514730671,0.022021515648861845
96,-1279.4861532482269,0.00048138504085447467,0.021940488619319184
97,-1279.3880992367854,0.0004781053514665457,0.021865620308295523
98,-1279.1432659839588,0.0004750452999815199,0.021795533945777053
99,-1278.8383026593692,0.00047215272857936897,0.021729075649446504
