M,Distortion
121,107.59330513708456
242,42.448744965565304
363,26.479904557780845
484,19.49174856020184
605,15.849627041041078
726,12.040270888494632
847,9.568441846683143
968,8.96510385569545
1089,7.551274820225962
1210,5.597644621838554
1331,5.3011244080440845
1452,4.3099283053901125
1573,3.140418251601938
1694,3.265442594103251
1815,2.7227739926285977
1936,2.274766780110403
2057,1.904814253566101
2178,1.6883667053152625
2299,1.684606288054888
2420,1.2404572284636362
