epoch,train_loss,val_mse,val_rmse
1,4663.9985015825405,0.03780221195289676,0.19442790939805107
2,4498.028800649576,0.03818956181321597,0.1954214978276852
3,4328.992400693146,0.03849736554945275,0.19620745538702844
4,4156.772839199895,0.03867041408791305,0.1966479445300994
5,3981.2656841815988,0.03869052492782378,0.19669907200549722
6,3802.3808519042814,0.03855767333098388,0.19636107896165136
7,3620.043389055675,0.038272156402655945,0.19563270790605528
8,3434.1934257620233,0.037826767069896856,0.1944910462460852
9,3244.7864937345366,0.03721293355106886,0.19290654097533566
10,3051.7944512249564,0.03643178353132465,0.19087111759332434
11,2855.2061939094615,0.03549852027756578,0.18841050999762668
12,2655.0272482711266,0.0344381811164791,0.18557527075685246
13,2451.2782045463437,0.033278396937077286,0.18242367427797657
14,2243.99277430308,0.03204377248559805,0.17900774420565735
15,2033.2164053678207,0.03075296335270719,0.17536522845965558
16,1819.0060288663121,0.029418126170261908,0.171517130836141
17,1601.4309945670748,0.028046289252759288,0.1674702637866176
18,1380.574734615751,0.02664185748623351,0.163223336218304
19,1156.5363389675508,0.025209155941376005,0.15877391454951284
20,929.4312091737752,0.023754147589121206,0.15412380604280834
21,699.390298035576,0.0222850560737806,0.14928180087934564
22,466.5579396522335,0.020812122764986594,0.1442640730223107
23,231.08867036923994,0.019346909587484654,0.13909316873047595
24,-6.856398177940264,0.017901494388234736,0.13379646627708347
25,-247.11314337273097,0.016487753821311308,0.12840464875272745
26,-489.5175821264638,0.015116800174726403,0.1229503972125605
27,-733.908429831853,0.013798568382375637,0.11746730771740552
28,-980.1290264812419,0.012541527628832046,0.11198896208480569
29,-1228.028675618173,0.011352495401682854,0.10654808962005304
30,-1477.4634864113855,0.010236541680298692,0.10117579592125131
31,-1728.2968241143367,0.009196977196689948,0.09590087172017754
32,-1980.399470910284,0.008235419906381375,0.09074921435682722
33,-2233.649586029459,0.007351929793505918,0.08574339504303476
34,-2487.9325367322413,0.006545197059375818,0.08090239217338271
35,-2743.140653944757,0.005812765181756653,0.07624149252052095
36,-2999.172950226857,0.005151269503304747,0.07177234497565721
37,-3255.934824491065,0.00455667385228313,0.06750313957352747
38,-3513.3377678270804,0.004024491375357589,0.06343887905186842
39,-3771.2990777362306,0.0035499802012812125,0.05958171029167602
40,-4029.7415835542333,0.003128308848722938,0.05593128685023203
41,-4288.593383232612,0.0027546898700766525,0.05248513951659701
42,-4547.787590371612,0.002424482851074262,0.04923903787721955
43,-4807.262089954616,0.002133269575991545,0.04618733133654233
44,-5066.959301252756,0.0018769050707983773,0.04332326246715934
45,-5326.8259465914325,0.0016515485510139082,0.04063924889824993
46,-5586.812824938857,0.0014536782187487911,0.03812713231740346
47,-5846.874589506651,0.0012800935315936753,0.03577839475987814
48,-6106.969528708076,0.0011279081209262494,0.033584343389833446
49,-6367.059349899384,0.000994536048192461,0.03153626560315062
50,-6627.108965351688,0.0008776736053213806,0.029625556624667503
51,-6887.086279889894,0.0007752784192259277,0.02784382192203376
52,-7146.9619796242705,0.000685547225761376,0.02618295678034427
53,-7406.709321216378,0.0006068933415514804,0.02463520532797485
54,-7666.30392119106,0.0005379245827983593,0.023193201219287505
55,-7925.723544945221,0.00047742215485315246,0.021849992101901375
56,-8184.947895319407,0.0004243208590693597,0.02059904995550425
57,-8443.958400878215,0.00037769082719996567,0.019434269402268913
58,-8702.738004369301,0.0003367208909215665,0.018349956155848616
59,-8961.270952149196,0.000300703617723633,0.01734080787401882
60,-9219.542585632731,0.0002690219879211244,0.016401889766765425
61,-9477.539135969382,0.00024113764550212773,0.015528607326548241
62,-9735.24752312726,0.00021658062401361686,0.014716678430054007
63,-9992.65516032913,0.00019494042522025696,0.013962106761526247
64,-10249.74976433122,0.00017585831184721115,0.013261158013054936
65,-10506.519171392834,0.00015902066627333783,0.012610339657334288
66,-10762.951158030854,0.00014415326506729334,0.012006384346142403
67,-11019.03326488666,0.0001310163250007409,0.011446236281011365
68,-11274.752621373062,0.00011940018927419984,0.010927039364539684
69,-11530.095768321506,0.00010912154173307202,0.010446125680512943
70,-11785.048475674765,0.00010002005959442507,0.010001002929427882
71,-12039.595552374274,9.195543869157053e-05,0.009589339846494675
72,-12293.720645952057,8.480474663694369e-05,0.009208949268887504
73,-12547.406029789017,7.846007620889507e-05,0.008857769256923272
74,-12800.632376502734,7.282648229182589e-05,0.008533843348212215
75,-13053.378516296838,6.782019063057443e-05,0.008235301489962248
76,-13305.62117927703,6.336706636355283e-05,0.007960343357139367
77,-13557.334720720528,5.940132631607294e-05,0.007707225591357304
78,-13808.49082808748,5.586447337939786e-05,0.007474254034978866
79,-14059.058208333056,5.270442572638562e-05,0.007259781382823151
80,-14309.00225389691,4.987480960090697e-05,0.007062209965790239
81,-14558.284685818597,4.733438281028877e-05,0.006879998750747617
82,-14806.86317273744,4.50465570409646e-05,0.006711673192354094
83,-15054.690925164605,4.297899036108899e-05,0.006555836358626487
84,-15301.716265258492,4.110322630421067e-05,0.006411179790351435
85,-15547.882173164597,3.939436162369658e-05,0.006276492780502227
