time_s,t_fitts,mode,max_probs,x_h_X,x_h_Y,x_h_Z,x_ref_X,x_ref_Y,x_ref_Z,x_d_X,x_d_Y,x_d_Z,x_r_X,x_r_Y,x_r_Z,F_h_X,F_h_Y,F_h_Z,F_r_X,F_r_Y,F_r_Z,theta_deg
0.0,0.0,FOLLOWER,0.3333333333333333,0.11489815448167218,0.020036499103711986,0.048528950557370075,0.11489815448167218,0.020036499103711986,0.048528950557370075,0.11489815448167218,0.020036499103711986,0.048528950557370075,0.11489815448167218,0.020036499103711986,0.048528950557370075,0.0,0.0,0.0,0.0,0.0,0.0,90.0
0.06282722513089005,0.0,FOLLOWER,0.4195330936355528,0.11636909449073643,0.02006432883606575,0.04841017810778305,0.12651031475844532,0.024989585379574963,0.05133077058942292,0.12680349383659995,0.024995132237520555,0.05130709756600557,0.1265371090398864,0.024883803445935705,0.051243720967745,0.220641001359638,0.004174459853064673,-0.017815867438053523,2.9698028192980814,3.0559326500533075,3.0461646003501244,58.04675997607975
0.1256544502617801,0.0,FOLLOWER,0.4647171800358668,0.11716670911853865,0.020048168976585616,0.04885700145393385,0.12716064457644538,0.024950061829466352,0.05182539597639857,0.12579335210454512,0.023995718379936377,0.05130928706456452,0.1258441274008329,0.024031911392493357,0.05131565813989683,-1.4055599882021645,-0.7253451704025132,-0.35800792707167234,-1.973529740320629,-2.403790493026584,-0.8636393233254136,22.767921062633672
0.18848167539267013,0.0,FOLLOWER,0.510255950788531,0.11745945435143303,0.02002572614803647,0.0491572932959356,0.12737629083296917,0.02492252618229307,0.052166702835223566,0.12296729552546237,0.0224876373211169,0.05088832705148895,0.12302889817154501,0.02252062794800101,0.050898086366894614,-1.2577009574099802,-0.6009277866685332,-0.3237547265941845,-1.6578498655267566,-2.2709748014708637,-1.2917113884551217,29.125291024783735
0.2513089005235602,0.0,FOLLOWER,0.5554989296406369,0.11757816160170308,0.020043007249903773,0.04846363976109991,0.1275471940241732,0.024938063376791275,0.05135781572316282,0.12108134891217086,0.021609635035726358,0.04938156541171139,0.1211103193873026,0.021623137943837092,0.04941593922583839,-0.8176104854762902,-0.3716431047145854,-0.3651669908692059,-1.8096769577491827,-1.5923020952568656,-2.557649856836541,28.113976808082917
0.31413612565445026,0.0,FOLLOWER,0.55567114891524,0.11732165107140055,0.02012734745467439,0.04609584456906904,0.12758205422897417,0.025028249943056302,0.048613034894132504,0.12049339871147202,0.02155851394093761,0.04589752828258664,0.12049530031570989,0.02155294258519811,0.045976606449520944,-0.5683002473853074,-0.22436857337440555,-0.49801419851540246,0.2896887152208065,1.238001928007293,-2.529801935197753,68.5129823932716
0.37696335078534027,0.0,FOLLOWER,0.5559963712767213,0.11654762150345167,0.02033369402731989,0.04146570428447091,0.12743997721478534,0.02525187318411637,0.04328573592199826,0.12045055139851926,0.022064945543003586,0.03962986563802172,0.12044786055666588,0.02204962823716016,0.0397704649336409,-0.5921518218387323,-0.1828872836817333,-0.676635324757505,1.0009047741480623,2.415903619388402,-2.3929397559904544,79.64491381897211
0.43979057591623033,0.0,FOLLOWER,0.5561135615244831,0.11510367243456286,0.02054737200487443,0.035301868014908096,0.12691868546732463,0.02550490560012475,0.03629649212932114,0.11991201249931599,0.022637832264149338,0.03170463576114434,0.11992863734641612,0.022624073111955762,0.0318780573340071,-0.8016282183154533,-0.22533843484285992,-0.6702895378099205,-1.648450600960544,2.259287952755823,-2.3669408161354966,52.229843406281994
0.5026178010471204,0.0,FOLLOWER,0.5557784685705539,0.11350799436565916,0.020762358372573102,0.029678705453343435,0.1262049592440206,0.025761372983787667,0.030109517910428374,0.11875851087541858,0.02304691544351917,0.025244906008900347,0.1187888011926246,0.023038012837750334,0.025380591440210282,-0.9630964471135449,-0.27925721090739897,-0.3299027820995499,-1.991469551889601,1.6946298816741052,-2.6150130722954827,53.76741630782009
0.5654450261780104,0.0,FOLLOWER,0.5553624692769873,0.11227877514124815,0.021077321092083847,0.025250545884117383,0.12563856575670915,0.026086377653975146,0.025518672752531224,0.11757333664810113,0.02337823915192404,0.021331179379301353,0.11760085324110126,0.02337026247950219,0.02141258590995864,-0.976503907706467,-0.2941037618499731,-0.01950683341393495,-1.8758679354208354,1.5867182861907931,-2.93811534030624,68.64750068559387
0.6282722513089005,0.0,FOLLOWER,0.556188483536234,0.11162413682876954,0.021685331361873957,0.021596306345872895,0.12543737171896946,0.02665301544662657,0.022010330393856012,0.11693271566241534,0.023950792825225824,0.018947946785042365,0.1169451218110523,0.023935283286407462,0.019002603259255395,-0.8965074618497576,-0.2527396676442351,0.02755806538713816,-1.0860560081540527,2.4855668166664877,-3.0793328644707003,86.09243078297911
0.6910994764397905,0.0,FOLLOWER,0.5586278667109004,0.11172856701098023,0.022390446808842755,0.01776653859676477,0.1259085799720534,0.0272557694165958,0.018393403901963062,0.11733086119531963,0.024621296836910393,0.016094272603824806,0.11731600543179532,0.024603607586185537,0.016165340094382995,-0.7824832200108094,-0.2317254716347061,-0.1854096993735935,2.9433141228047326,2.641678281221303,-2.9627418163824473,124.8969256796971
0.7539267015706805,0.0,FOLLOWER,0.562704637963789,0.11237262204356692,0.023044267145551876,0.012755217162429763,0.12702313590928882,0.027761726045419044,0.013422663346629546,0.1186435541525914,0.025212728272114113,0.011002868962198827,0.1186098688644376,0.025197505159051562,0.011124554503532334,-0.7415075082342605,-0.23390106609504913,-0.5115184397929847,3.6974917365971933,2.43068469967438,-2.6701802131990178,113.8439783011755
0.8167539267015707,0.0,FOLLOWER,0.5675147911310443,0.11329670757919957,0.02346880680651361,0.007519146203925715,0.12842709082856246,0.0280113770395376,0.008155401057576145,0.12024026549757377,0.025498590918159272,0.005074327741385028,0.12020279474171529,0.025491551980093525,0.005207711355348074,-0.7969741927857037,-0.25930475288069266,-0.5408112449409929,3.7488639683907437,1.4151572005668793,-2.5336695496978336,114.81309676715863
0.8795811518324607,0.0,FOLLOWER,0.5723248048787497,0.11437621460370322,0.02384142338873495,0.003947825209195164,0.12971022664245252,0.028181975314950036,0.004765975825686428,0.1215228796277516,0.025677557181890766,0.0014577783936582048,0.12149301536646417,0.025672549970487832,0.0015324783828499116,-0.8739870207018108,-0.2475192887037861,-0.1889829219229365,3.7296119182121146,1.0839531621639606,-2.7378661673854197,133.06509068299982
0.9424083769633508,0.0,FOLLOWER,0.5744708108917309,0.11534937927488176,0.023513334517422258,0.0020426720081282933,0.1306538901529489,0.02764555356028575,0.003308756624103723,0.12228261100029077,0.025048408746546187,0.0005987923555380824,0.12226375433539728,0.025065498647559626,0.0006138037313837974,-0.9215454137373624,-0.3238823179598361,0.07652904379175726,3.3512319987843746,-2.0945352776886317,-2.2034726569020577,125.56546535048528
1.0052356020942408,0.0,FOLLOWER,0.5694404890947796,0.11585962940302443,0.021714054982605202,0.0009447246066919346,0.13111190415593452,0.02565581233906844,0.002809466193876939,0.12245252171707086,0.022654805894373752,0.0009911914061136223,0.12244756463624526,0.022712536660076756,0.000981936133016759,-0.9606187398559285,-0.5027165497431636,0.049638131296220585,1.6692115557546945,-2.558225410782228,1.4557990806241818,93.82740913890154
1.068062827225131,0.0,FOLLOWER,0.5456196179570622,0.11620968659925736,0.01776339727553925,0.0016196115577618666,0.13123304243301623,0.02150808787467995,0.004283703751593468,0.12231879589569919,0.017632376268143415,0.003283549609163103,0.12232023287392464,0.017747860681853675,0.003231916962134001,-0.9356817055481852,-0.7423709076806256,0.09565131371176615,0.5316782181480759,-2.347372860371877,2.882520247149756,70.24524683890695
1.1308900523560208,0.0,FOLLOWER,0.4973713685757051,0.11645220896170147,0.012008308332746655,0.004859222523017993,0.13095240410437542,0.01552980536409132,0.008557948484552866,0.12194331313187805,0.010475185916798874,0.008413114486049169,0.12195034153335674,0.010634206579551978,0.008297892773325084,-0.8802035868334758,-0.8609328523660529,0.24409583413259886,-0.43341884462473423,-2.1996714839172,2.799479071105253,48.91392388146631
1.193717277486911,0.0,FOLLOWER,0.4374052050718609,0.11668445399221508,0.006342508107021208,0.011727582088583455,0.13016202570298346,0.009610295879612818,0.016786265806999018,0.12129135780749103,0.0037355214873253714,0.017806559422532415,0.121304980466429,0.0038789247655456128,0.01759628528449198,-0.7898831311712484,-0.6437547708796154,0.5144533972887557,-1.3320856781871058,-2.3182725737792396,2.6054948852674897,24.26588640623368
1.256544502617801,0.0,FOLLOWER,0.39186998358634556,0.11691461002043309,0.0025837948993800257,0.021034758960421646,0.12904151463527197,0.005631469551451218,0.027566076888829713,0.12059654584990115,-4.69110109928457e-07,0.029817265948606935,0.12061108434030815,7.36684535399758e-05,0.029554656636368186,-0.6585555668993868,-0.19426947992483806,0.5157710513894501,-1.5419828258965218,-2.6986795122904113,2.5590531547374553,34.19754940301075
1.319371727748691,0.0,FOLLOWER,0.395250955531739,0.1171502489221657,0.0009447920341305499,0.02979464019335918,0.12806653818143413,0.003882523702684937,0.03740821918693346,0.12033287397396034,-0.0004438814879923064,0.04000384653783223,0.12033723924194299,-0.0004398277610100083,0.039789490129462785,-0.519125312721367,0.1306685370885861,0.035997533548649124,-0.3332511464037635,-0.7712190356148083,2.904970495883674,83.74417931447016
1.382198952879581,0.0,FOLLOWER,0.3789339417267141,0.11736500179380209,0.0006566438026134238,0.035923026104609054,0.127527851052664,0.0036199331779972477,0.04384425954983366,0.12064732329903737,0.0009365497797782243,0.04523073323110921,0.12063869421148847,0.0009049428249487211,0.045125769245138454,-0.4458356172211353,0.16447073454351482,-0.5799696037280595,1.8017334701173517,2.696361487837322,3.4803691323012913,131.8200459367337
1.4450261780104712,0.0,FOLLOWER,0.35683665470390014,0.11752442373626301,0.0008522098928584521,0.04046944890615612,0.12725479570323495,0.003963711574102025,0.04810917625483931,0.12111551816815391,0.002459858734494668,0.047428361561994134,0.1211054694862,0.002430380815070289,0.047378009261748094,-0.4671405712838188,-0.007909939813540351,-0.6984480508473501,1.9951759214612697,2.7674774306548144,3.7577727188915873,147.0403959828382
