wall_time,meas_x,meas_y,meas_z
2026-06-16 18:43:47.559589,0.12416,-0.064,-0.038991
2026-06-16 18:43:47.602722,0.12472,-0.083,-0.040343
2026-06-16 18:43:47.633955,0.121541,-0.111,-0.042335
2026-06-16 18:43:47.665191,0.123209,-0.171,-0.046604
2026-06-16 18:43:47.695788,0.126427,-0.141,-0.040411
2026-06-16 18:43:47.730017,0.125544,-0.111,-0.042335
2026-06-16 18:43:47.758572,0.125544,-0.111,-0.042335
2026-06-16 18:43:47.792671,0.127016,-0.161,-0.041801
2026-06-16 18:43:47.829067,0.128518,-0.212,-0.045346
2026-06-16 18:43:47.889963,0.126722,-0.151,-0.041106
2026-06-16 18:43:47.934065,0.125279,-0.102,-0.037701
2026-06-16 18:43:47.976256,0.121012,-0.092,-0.040983
2026-06-16 18:43:48.014260,0.121291,-0.102,-0.037701
2026-06-16 18:43:48.049863,0.124502,-0.2175,-0.045728
2026-06-16 18:43:48.085738,0.123209,-0.171,-0.042496
2026-06-16 18:43:48.118861,0.124349,-0.212,-0.045346
2026-06-16 18:43:48.157729,0.120887,-0.0875,-0.036693
2026-06-16 18:43:48.201338,0.122931,-0.161,-0.041801
2026-06-16 18:43:48.235448,0.123209,-0.171,-0.042496
2026-06-16 18:43:48.270438,0.122097,-0.131,-0.039716
2026-06-16 18:43:48.306025,0.121819,-0.121,-0.039021
2026-06-16 18:43:48.343513,0.122375,-0.141,-0.040411
2026-06-16 18:43:48.379195,0.122653,-0.151,-0.041106
2026-06-16 18:43:48.411620,0.121416,-0.1065,-0.038013
2026-06-16 18:43:48.449195,0.118322,-0.141,-0.040411
2026-06-16 18:43:48.483167,0.122653,-0.151,-0.041106
2026-06-16 18:43:48.525605,0.118061,-0.131,-0.039716
2026-06-16 18:43:48.561926,0.121291,-0.102,-0.037701
2026-06-16 18:43:48.594611,0.119513,-0.1865,-0.043574
2026-06-16 18:43:48.630008,0.118846,-0.161,-0.041801
2026-06-16 18:43:48.670742,0.119107,-0.171,-0.042496
2026-06-16 18:43:48.702829,0.118061,-0.131,-0.039716
2026-06-16 18:43:48.734033,0.121291,-0.102,-0.037701
2026-06-16 18:43:48.765292,0.121291,-0.102,-0.037701
2026-06-16 18:43:48.819133,0.121541,-0.111,-0.038326
2026-06-16 18:43:48.853052,0.116308,-0.064,-0.03506
2026-06-16 18:43:48.888144,0.117538,-0.111,-0.038326
2026-06-16 18:43:48.919638,0.112382,-0.064,-0.03506
2026-06-16 18:43:48.963588,0.112602,-0.073,-0.035685
2026-06-16 18:43:48.999993,0.111033,-0.009,-0.031237
2026-06-16 18:43:49.036619,0.111474,-0.027,-0.032488
2026-06-16 18:43:49.075111,0.111695,-0.036,-0.029228
2026-06-16 18:43:49.110650,0.111916,-0.045,-0.029839
2026-06-16 18:43:49.144157,0.107403,-0.018,-0.028007
2026-06-16 18:43:49.177680,0.104126,-0.045,-0.029839
2026-06-16 18:43:49.215112,0.107815,-0.036,-0.029228
2026-06-16 18:43:49.252975,0.109531,-0.111,-0.034317
2026-06-16 18:43:49.285248,0.109096,-0.092,-0.033028
2026-06-16 18:43:49.318577,0.110217,-0.141,-0.036353
2026-06-16 18:43:49.358856,0.106165,-0.141,-0.040411
2026-06-16 18:43:49.401828,0.105953,-0.131,-0.039716
2026-06-16 18:43:49.441961,0.105029,-0.0875,-0.036693
2026-06-16 18:43:49.476546,0.104933,-0.083,-0.03638
2026-06-16 18:43:49.511365,0.106165,-0.141,-0.040411
2026-06-16 18:43:49.544868,0.106802,-0.171,-0.042496
2026-06-16 18:43:49.577034,0.10659,-0.161,-0.041801
2026-06-16 18:43:49.608336,0.10659,-0.161,-0.041801
2026-06-16 18:43:49.644286,0.10453,-0.064,-0.038991
2026-06-16 18:43:49.677424,0.101721,-0.121,-0.043046
2026-06-16 18:43:49.712708,0.102113,-0.141,-0.044469
2026-06-16 18:43:49.747711,0.101525,-0.111,-0.042335
2026-06-16 18:43:49.779684,0.09824,-0.151,-0.045181
2026-06-16 18:43:49.808982,0.09718,-0.092,-0.040983
2026-06-16 18:43:49.840295,0.09736,-0.102,-0.041695
2026-06-16 18:43:49.872904,0.09736,-0.102,-0.041695
2026-06-16 18:43:49.903380,0.09824,-0.151,-0.045181
2026-06-16 18:43:49.932728,0.100055,-0.036,-0.036999
2026-06-16 18:43:49.971118,0.107197,-0.009,-0.035078
2026-06-16 18:43:50.012964,0.10453,-0.064,-0.038991
2026-06-16 18:43:50.051414,0.103935,-0.036,-0.036999
2026-06-16 18:43:50.080987,0.103,0.008,-0.033869
2026-06-16 18:43:50.110526,0.10317,-0.0,-0.034438
2026-06-16 18:43:50.146746,0.10317,-0.0,-0.030611
2026-06-16 18:43:50.177496,0.106396,0.026,-0.028804
2026-06-16 18:43:50.212255,0.106396,0.026,-0.028804
2026-06-16 18:43:50.244445,0.103,0.008,-0.030055
2026-06-16 18:43:50.275524,0.103552,-0.018,-0.028007
2026-06-16 18:43:50.311824,0.102257,0.043,-0.023867
2026-06-16 18:43:50.356040,0.106213,0.034,-0.024478
2026-06-16 18:43:50.392341,0.106808,0.008,-0.026242
2026-06-16 18:43:50.425235,0.108021,-0.045,-0.025938
2026-06-16 18:43:50.459429,0.106991,-0.0,-0.022959
2026-06-16 18:43:50.491050,0.104863,0.093,-0.0168
2026-06-16 18:43:50.526031,0.105824,0.051,-0.019582
2026-06-16 18:43:50.560737,0.104314,0.117,-0.015211
2026-06-16 18:43:50.595739,0.105618,0.06,-0.018986
2026-06-16 18:43:50.628500,0.102257,0.043,-0.020111
2026-06-16 18:43:50.670021,0.101556,0.076,-0.017926
2026-06-16 18:43:50.724775,0.10468,0.101,-0.016271
2026-06-16 18:43:50.758528,0.101556,0.076,-0.017926
2026-06-16 18:43:50.793394,0.097859,0.076,-0.017926
2026-06-16 18:43:50.824131,0.096899,0.125,-0.014682
2026-06-16 18:43:50.856575,0.093139,0.133,-0.014152
2026-06-16 18:43:50.890771,0.087005,0.06,-0.018986
2026-06-16 18:43:50.920786,0.082239,0.14,-0.013688
2026-06-16 18:43:50.957066,0.082031,0.156,-0.012629
2026-06-16 18:43:50.987438,0.082135,0.148,-0.009575
2026-06-16 18:43:51.015966,0.082239,0.14,-0.010092
2026-06-16 18:43:51.044781,0.083282,0.06,-0.015258
2026-06-16 18:43:51.082347,0.078956,0.113,-0.011835
2026-06-16 18:43:51.126964,0.079753,0.043,-0.016356
2026-06-16 18:43:51.164382,0.072049,0.068,-0.018456
2026-06-16 18:43:51.197954,0.068074,0.109,-0.015741
2026-06-16 18:43:51.232502,0.067718,0.164,-0.008542
2026-06-16 18:43:51.260101,0.067673,0.171,-0.00809
2026-06-16 18:43:51.291051,0.068126,0.101,-0.01261
2026-06-16 18:43:51.326695,0.067822,0.148,-0.009575
2026-06-16 18:43:51.369782,0.068288,0.076,-0.014225
2026-06-16 18:43:51.398741,0.067382,0.216,-0.005184
2026-06-16 18:43:51.430012,0.067382,0.216,-0.001713
2026-06-16 18:43:51.458129,0.064355,0.125,-0.007439
2026-06-16 18:43:51.493291,0.063954,0.208,-0.002216
2026-06-16 18:43:51.526998,0.063847,0.23,-0.000832
2026-06-16 18:43:51.556787,0.063881,0.223,-0.001272
2026-06-16 18:43:51.590382,0.063881,0.223,-0.001272
2026-06-16 18:43:51.630401,0.063847,0.23,-0.000832
2026-06-16 18:43:51.656896,0.063779,0.244,4.9e-05
2026-06-16 18:43:51.694024,0.063779,0.244,4.9e-05
2026-06-16 18:43:51.725133,0.063813,0.237,0.003046
2026-06-16 18:43:51.760804,0.063779,0.244,0.003475
2026-06-16 18:43:51.790042,0.063712,0.258,0.004333
2026-06-16 18:43:51.825499,0.063678,0.265,0.008153
2026-06-16 18:43:51.857131,0.063678,0.265,0.008153
2026-06-16 18:43:51.889861,0.060269,0.272,0.00857
2026-06-16 18:43:51.936156,0.060225,0.286,0.009405
2026-06-16 18:43:51.967555,0.056884,0.279,0.008988
2026-06-16 18:43:51.998847,0.050191,0.299,0.010181
2026-06-16 18:43:52.032140,0.050157,0.279,0.008988
2026-06-16 18:43:52.066475,0.050191,0.299,0.013516
2026-06-16 18:43:52.096010,0.046841,0.293,0.013168
2026-06-16 18:43:52.131187,0.043565,0.306,0.013922
2026-06-16 18:43:52.164902,0.0436,0.313,0.014328
2026-06-16 18:43:52.201126,0.040419,0.332,0.01543
2026-06-16 18:43:52.243898,0.040333,0.319,0.014676
2026-06-16 18:43:52.283327,0.033807,0.326,0.015082
2026-06-16 18:43:52.317035,0.034065,0.352,0.019838
2026-06-16 18:43:52.347225,0.034065,0.352,0.019838
2026-06-16 18:43:52.379153,0.030671,0.339,0.019106
2026-06-16 18:43:52.410625,0.027578,0.352,0.019838
2026-06-16 18:43:52.442786,0.021503,0.377,0.021247
2026-06-16 18:43:52.480230,0.021289,0.364,0.020515
2026-06-16 18:43:52.513438,0.0183,0.377,0.021247
2026-06-16 18:43:52.548582,0.018409,0.383,0.024783
2026-06-16 18:43:52.583028,0.015335,0.389,0.025111
2026-06-16 18:43:52.614072,0.015098,0.377,0.024454
2026-06-16 18:43:52.651519,0.015216,0.383,0.024783
2026-06-16 18:43:52.688477,0.012152,0.389,0.028298
2026-06-16 18:43:52.731921,0.012538,0.407,0.029253
2026-06-16 18:43:52.765790,0.012538,0.407,0.029253
2026-06-16 18:43:52.797859,0.012538,0.407,0.029253
2026-06-16 18:43:52.832238,0.009799,0.425,0.030209
2026-06-16 18:43:52.866354,0.009661,0.419,0.033028
2026-06-16 18:43:52.907746,0.009938,0.431,0.033646
2026-06-16 18:43:52.941682,0.010076,0.437,0.033954
2026-06-16 18:43:52.978963,0.00712,0.443,0.031164
2026-06-16 18:43:53.010254,0.007244,0.448,0.031429
2026-06-16 18:43:53.043705,0.007392,0.454,0.031748
2026-06-16 18:43:53.076387,0.007392,0.454,0.031748
2026-06-16 18:43:53.106195,0.00754,0.46,0.032066
2026-06-16 18:43:53.141060,0.007812,0.471,0.03265
2026-06-16 18:43:53.171429,0.007392,0.454,0.031748
2026-06-16 18:43:53.203122,0.00754,0.46,0.032066
2026-06-16 18:43:53.242700,0.007664,0.465,0.032332
2026-06-16 18:43:53.307889,0.00754,0.46,0.032066
2026-06-16 18:43:53.349501,0.007664,0.465,0.035394
2026-06-16 18:43:53.388083,0.007812,0.471,0.03265
2026-06-16 18:43:53.418645,0.004763,0.471,0.03265
2026-06-16 18:43:53.451367,0.005343,0.493,0.033818
2026-06-16 18:43:53.486195,0.005343,0.493,0.033818
2026-06-16 18:43:53.520503,0.004763,0.471,0.03265
2026-06-16 18:43:53.563134,0.004921,0.477,0.032969
2026-06-16 18:43:53.598454,0.008083,0.482,0.030199
2026-06-16 18:43:53.628035,0.008232,0.488,0.030528
2026-06-16 18:43:53.666080,0.00796,0.477,0.029926
2026-06-16 18:43:53.697712,0.008503,0.499,0.03113
2026-06-16 18:43:53.730273,0.008355,0.493,0.030801
2026-06-16 18:43:53.761147,0.008083,0.482,0.027165
2026-06-16 18:43:53.810480,0.008232,0.488,0.027503
2026-06-16 18:43:53.839691,0.008503,0.499,0.028123
2026-06-16 18:43:53.868952,0.008355,0.493,0.027785
2026-06-16 18:43:53.898487,0.008775,0.51,0.028743
